x,y,label
-1.853,-4.201,7.0
-0.7125,2.024,2.0
2.692,-5.439,1.0
0.7081,3.843,0.0
-3.088,-0.797,4.0
2.799,-5.391,1.0
-2.112,-0.9891,4.0
-1.575,-0.9764,9.0
-0.7627,1.278,5.0
-1.581,-1.655,9.0
1.861,3.752,0.0
-2.466,2.46,6.0
-1.844,-1.464,9.0
1.5,3.316,0.0
1.793,-5.599,1.0
2.032,0.416,5.0
-2.689,-1.308,9.0
-2.427,-4.625,7.0
1.64,0.5777,3.0
-2.641,-1.017,4.0
-1.182,-2.47,9.0
-2.609,2.994,6.0
-3.081,2.173,6.0
1.135,-0.4344,5.0
-2.424,-0.656,4.0
1.404,4.844,0.0
-2.686,-3.793,7.0
-2.751,-0.693,4.0
1.524,3.936,0.0
1.558,-5.035,1.0
2.87,-0.42,3.0
1.583,-5.407,1.0
2.988,-0.0837,3.0
-2.436,0.544,4.0
-0.8973,-3.891,7.0
-0.1636,1.299,2.0
-2.416,-4.567,7.0
1.489,-5.289,1.0
0.3937,1.001,2.0
1.87,-5.277,1.0
2.09,-5.595,1.0
-1.599,-4.059,7.0
-2.839,-1.175,4.0
-0.66,0.8119,2.0
1.938,-0.4108,3.0
1.44,-0.0533,5.0
1.757,-5.341,1.0
-0.726,1.333,2.0
-2.511,-1.184,4.0
-3.941,-0.9827,4.0
-2.001,3.855,6.0
3.236,0.5295,3.0
0.766,-0.07926,5.0
1.255,0.4986,5.0
-3.117,2.318,6.0
1.185,3.35,0.0
-3.545,-0.7246,4.0
2.762,-5.8,1.0
-2.85,-1.618,9.0
0.4253,-0.7128,5.0
-3.484,-5.311,7.0
-0.06158,0.4976,8.0
-1.217,-1.051,9.0
1.009,0.07354,3.0
-1.715,-3.098,7.0
-1.603,-0.7607,4.0
-2.349,2.162,6.0
-3.363,-0.3328,4.0
2.649,-0.4057,3.0
2.158,4.695,0.0
-2.644,-4.693,7.0
2.465,4.828,0.0
0.6015,1.588,2.0
-0.4624,-1.47,9.0
1.449,-5.218,1.0
-2.239,-3.914,7.0
2.555,-0.2183,3.0
-0.6797,1.026,2.0
-1.02,-1.45,9.0
-1.959,-5.239,7.0
-2.764,-3.67,7.0
-2.341,2.795,6.0
-0.5543,1.63,2.0
-2.935,-4.166,7.0
0.407,-0.2924,8.0
-3.546,-1.153,4.0
-1.531,-4.86,7.0
2.327,0.166,3.0
-3.458,2.567,6.0
2.834,-4.86,1.0
2.639,-0.1066,3.0
-2.445,3.408,6.0
-1.205,-1.169,9.0
1.861,-0.3727,3.0
1.859,-5.85,1.0
-2.393,-0.3518,4.0
1.707,-4.832,1.0
-1.116,-4.609,7.0
-2.389,3.366,6.0
-2.787,-1.583,9.0
-2.94,2.245,6.0
1.976,3.923,0.0
1.385,-0.01128,5.0
-3.847,-0.7399,4.0
-1.452,-0.9987,9.0
-2.242,-1.303,9.0
-0.404,1.906,2.0
2.648,-4.236,1.0
-1.669,-1.421,9.0
-2.363,-0.4168,4.0
0.7876,-0.3052,8.0
-0.8782,-4.078,7.0
2.593,-0.4218,3.0
-1.917,-1.423,9.0
-1.831,-4.75,7.0
-2.008,-0.6798,4.0
-2.011,-1.299,4.0
-3.598,-0.4593,4.0
-1.716,-1.259,9.0
-0.4853,0.641,2.0
2.045,0.04419,5.0
-1.388,-0.001723,4.0
-2.435,-4.265,7.0
-2.956,3.088,6.0
-2.511,-2.349,7.0
-1.835,-1.012,9.0
1.908,3.352,0.0
0.9105,-0.7402,5.0
0.5339,-0.4067,8.0
1.252,-0.5279,5.0
-2.705,3.841,6.0
-2.548,4.217,6.0
1.763,0.4513,5.0
-1.997,-3.804,7.0
0.5177,-0.532,8.0
1.854,-5.321,1.0
1.294,3.201,0.0
3.134,-5.158,1.0
-3.639,2.926,6.0
-1.951,-0.7817,4.0
-2.271,3.509,6.0
-2.724,-4.174,7.0
1.327,0.1724,3.0
2.193,-5.369,1.0
-1.745,-3.8,7.0
1.686,-5.467,1.0
0.1438,-0.3521,8.0
-0.6792,1.685,2.0
1.096,3.66,0.0
-0.1089,0.3395,2.0
-2.224,-1.254,9.0
0.2509,0.458,9.0
0.7203,-0.542,5.0
1.047,0.03566,5.0
1.788,-5.949,1.0
0.761,-0.342,5.0
-2.807,2.433,6.0
1.046,3.031,0.0
2.174,1.117,3.0
-1.644,-0.7363,4.0
-2.377,-0.8795,4.0
-3.391,3.651,6.0
1.685,-0.2116,5.0
-4.168,-0.8699,4.0
-2.879,2.374,6.0
2.112,0.7108,5.0
-2.442,-0.9358,4.0
0.5019,0.5787,5.0
1.737,-5.744,1.0
-2.483,-1.23,4.0
-2.385,-1.152,4.0
-1.075,-3.333,7.0
0.4473,1.334,2.0
2.746,0.3133,3.0
-0.4987,1.35,2.0
-0.1878,-3.751,7.0
1.999,-5.595,1.0
0.454,-0.1543,8.0
1.925,-5.249,1.0
0.9004,-0.03466,8.0
1.892,-4.965,1.0
0.8415,0.01032,8.0
1.805,-0.8924,5.0
2.399,5.064,0.0
0.6573,0.263,8.0
-2.428,-0.7121,9.0
0.05041,1.358,2.0
1.692,0.08353,5.0
1.709,4.646,0.0
2.035,-6.253,1.0
3.204,-5.313,1.0
1.709,-4.783,1.0
0.427,5.017,0.0
-1.221,-0.8581,9.0
1.537,3.18,0.0
1.287,0.1465,3.0
1.843,-5.634,1.0
-2.248,4.08,6.0
-2.301,-1.365,4.0
-0.3535,1.396,2.0
1.591,0.7588,3.0
-4.184,2.786,6.0
3.565,-5.236,1.0
1.926,-5.387,1.0
2.548,-5.242,1.0
2.602,-0.0324,3.0
-1.402,-1.687,9.0
1.719,0.7051,5.0
-0.7256,1.682,2.0
-1.893,-1.374,9.0
-3.219,-1.156,4.0
0.5858,-0.3013,5.0
-2.444,-1.754,9.0
1.528,-1.381,3.0
-1.578,-1.611,9.0
0.8706,3.375,0.0
2.663,-0.8501,3.0
-0.9883,2.15,6.0
0.2004,-1.856,5.0
1.395,0.3697,5.0
-2.901,-3.339,7.0
-0.0137,1.432,2.0
-0.3941,1.428,2.0
-1.622,-4.496,7.0
2.765,-4.681,1.0
0.07365,1.105,2.0
0.7912,-0.2865,8.0
-2.098,-0.4882,4.0
2.942,-5.299,1.0
-1.716,-4.187,7.0
2.199,-0.3789,3.0
2.252,-0.4394,3.0
0.5856,0.3309,8.0
-0.542,-1.581,8.0
-1.261,-3.253,7.0
-2.371,-1.787,9.0
-0.7748,1.492,2.0
-0.8239,1.413,2.0
-3.159,-0.7776,4.0
1.718,-5.398,1.0
1.77,0.1012,5.0
1.004,0.293,9.0
0.06937,-0.5209,8.0
-2.31,-3.981,7.0
-0.2471,0.8423,2.0
0.7432,1.336,3.0
3.014,3.823,0.0
-1.48,2.742,4.0
