x,y,label
2.471,1.768,7.0
-0.7747,0.05899,2.0
2.63,-2.259,1.0
-1.893,-0.9981,0.0
-0.5191,2.24,4.0
2.302,-1.963,1.0
0.4011,1.099,4.0
-0.4072,1.186,9.0
0.07649,0.5646,5.0
1.311,1.027,9.0
-2.926,-0.6834,0.0
-1.394,0.119,6.0
0.5767,1.3,9.0
-2.379,-0.5621,0.0
2.544,-0.7138,1.0
-0.5704,0.3511,5.0
0.071,1.688,9.0
1.855,2.636,7.0
-0.7768,0.4603,3.0
0.048,1.565,4.0
1.372,0.8097,9.0
-0.8313,-1.439,6.0
-1.352,0.1464,6.0
0.08754,0.0237,5.0
-0.2305,1.39,4.0
-2.353,-1.178,0.0
0.07647,2.971,7.0
-0.1864,1.622,4.0
-2.126,-0.7365,0.0
3.147,-0.4889,1.0
-0.09986,0.2266,3.0
3.547,-0.3001,1.0
-0.4201,0.5141,3.0
-1.259,-0.3943,4.0
1.105,0.5836,7.0
-0.5051,-0.3623,2.0
0.6143,2.316,7.0
3.012,-0.6383,1.0
-0.504,0.0284,2.0
1.999,-0.8176,1.0
3.346,-1.271,1.0
1.022,1.439,7.0
0.3155,1.374,4.0
-0.8449,-0.4659,2.0
-0.2032,0.0829,3.0
-0.08671,0.1244,5.0
0.7167,0.04238,1.0
-0.936,-0.2316,2.0
0.01945,1.244,4.0
-0.8205,2.592,4.0
-0.02605,-1.816,6.0
-0.6584,0.4747,3.0
0.1329,0.1256,5.0
-0.5276,0.4371,5.0
-1.469,0.3699,6.0
-1.293,-0.5717,0.0
-0.6728,2.253,4.0
3.194,-2.377,1.0
0.1503,2.052,9.0
1.109,-0.2845,5.0
-0.1729,3.763,7.0
0.1763,-0.3986,8.0
0.08864,1.338,9.0
-0.4341,-0.2877,3.0
1.097,0.7248,7.0
0.3319,1.205,4.0
-1.334,0.01514,6.0
-0.3545,1.71,4.0
-0.1641,0.3326,3.0
-2.935,0.2423,0.0
2.223,2.756,7.0
-3.205,-0.5705,0.0
-0.4807,-0.09762,2.0
1.18,0.3393,9.0
2.503,-0.8199,1.0
0.5667,1.613,7.0
-0.268,0.1933,3.0
-0.8911,0.3969,2.0
1.163,0.3324,9.0
1.502,0.9929,7.0
0.1018,2.454,7.0
-0.9531,-1.345,6.0
-0.5762,-0.4019,2.0
0.1275,2.616,7.0
-0.1354,0.7072,8.0
-0.3175,1.645,4.0
2.278,0.8308,7.0
-0.3566,0.4442,3.0
-1.269,-0.1498,6.0
1.716,-1.383,1.0
-0.2241,0.1431,3.0
-0.4832,-2.562,6.0
0.9857,0.2231,9.0
-0.1345,0.179,3.0
2.587,-0.2863,1.0
0.3197,0.7488,4.0
3.099,-0.08266,1.0
0.2816,0.6825,7.0
-0.738,-1.026,6.0
-0.3786,1.907,9.0
-1.184,-0.1569,6.0
-2.743,-0.576,0.0
-0.02552,0.3408,5.0
-0.779,2.549,4.0
-0.7524,1.472,9.0
-0.07084,1.986,9.0
-0.3948,-0.3026,2.0
1.178,-1.548,1.0
0.09387,1.66,9.0
0.5037,0.9461,4.0
0.03481,-0.07319,8.0
1.771,0.1479,7.0
0.01098,0.225,3.0
-0.0009445,1.641,9.0
0.5019,0.9473,7.0
0.5563,0.5608,4.0
0.1635,1.184,4.0
-0.6834,2.166,4.0
0.4778,1.142,9.0
-0.498,0.07669,2.0
-0.3162,0.452,5.0
0.4325,0.2999,4.0
0.2886,2.313,7.0
-0.8187,-1.84,6.0
1.325,1.892,7.0
-0.2941,1.269,9.0
-2.707,0.05843,0.0
0.2341,0.3034,5.0
0.0003522,0.4736,8.0
0.1253,0.07457,5.0
-0.764,-1.304,6.0
-0.5672,-1.375,6.0
-0.4155,0.3399,5.0
0.03827,0.8494,7.0
0.1838,0.2716,8.0
2.204,-0.8532,1.0
-1.991,-0.618,0.0
1.558,-1.237,1.0
-1.285,-0.1919,6.0
0.7043,0.7,4.0
-0.1642,-2.366,6.0
-0.1524,2.957,7.0
-0.4655,0.5272,3.0
2.739,-1.641,1.0
0.9418,0.5935,7.0
3.76,-0.5958,1.0
0.2606,0.4921,8.0
-0.5239,-0.546,2.0
-1.636,-1.311,0.0
-1.026,1.364,2.0
-0.1752,1.658,9.0
-0.6517,0.674,9.0
0.5382,-0.135,5.0
-0.2034,0.3061,5.0
4.206,-1.216,1.0
0.1373,-0.03351,5.0
-1.301,-0.006533,6.0
-1.746,-0.8352,0.0
-0.7436,0.2,3.0
0.2574,1.066,4.0
-0.1994,0.9915,4.0
-0.4095,-1.26,6.0
-0.04313,0.2574,5.0
-0.6048,2.487,4.0
-1.182,-0.2484,6.0
-0.5041,0.3353,5.0
0.2223,0.9602,4.0
0.2064,-0.5542,5.0
2.609,-0.5576,1.0
0.1958,1.556,4.0
-0.01174,1.327,4.0
0.6869,0.1643,7.0
-0.623,-0.0464,2.0
-0.4839,0.3345,3.0
-0.8919,-0.3752,2.0
2.518,0.03835,7.0
2.896,-1.18,1.0
-0.03561,0.4798,8.0
2.853,-1.21,1.0
-0.0427,0.3431,8.0
3.324,-1.218,1.0
-0.247,0.2158,8.0
0.5409,0.4751,5.0
-3.288,-0.7945,0.0
-0.1769,0.0493,8.0
0.2915,1.033,9.0
-0.5779,0.02844,2.0
-0.4069,0.4073,5.0
-2.802,-1.202,0.0
3.129,-0.1135,1.0
1.442,-1.073,1.0
3.146,-0.3036,1.0
-2.174,-2.147,0.0
-0.2599,1.287,9.0
-2.15,-0.6837,0.0
-0.6066,1.071,3.0
1.917,-0.6016,1.0
-0.2678,-1.263,6.0
0.2512,1.562,4.0
-0.4826,-0.405,2.0
-0.3924,-0.0706,3.0
-1.67,0.1387,6.0
1.719,-2.318,1.0
3.614,-1.097,1.0
2.66,-2.29,1.0
-0.289,0.2469,3.0
0.07364,1.317,9.0
-0.4898,0.5551,5.0
-0.7089,-0.4123,2.0
-0.441,1.212,9.0
-0.2697,2.576,4.0
0.5063,0.077,5.0
-0.719,1.652,9.0
2.124,0.07848,3.0
0.03979,1.264,9.0
-1.382,-0.8708,0.0
-0.09965,0.03531,3.0
0.3878,-0.3912,6.0
1.307,0.2617,5.0
-0.115,-0.2465,5.0
0.2559,2.413,7.0
-0.7391,0.01834,2.0
-0.7011,-0.02565,2.0
1.944,1.23,7.0
2.605,-3.083,1.0
-0.4778,-0.07672,2.0
-0.06249,0.5176,8.0
0.7104,0.8111,4.0
2.132,-1.979,1.0
2.99,1.031,7.0
-0.3554,-0.1338,3.0
1.215,-0.4228,3.0
-0.09418,0.4368,8.0
0.3892,0.8063,8.0
2.448,0.5937,7.0
-0.04522,2.055,9.0
-0.9822,0.01027,2.0
-0.5825,-0.5691,2.0
0.3298,1.088,4.0
3.425,-0.9618,1.0
-0.2615,0.3336,5.0
-0.2862,0.5289,9.0
0.5986,0.1687,8.0
0.3117,1.837,7.0
-0.3561,0.1185,2.0
-1.26,0.3732,3.0
-3.045,0.3851,0.0
-0.1973,-0.5704,4.0
-0.04706,1.597,4.0
0.2861,-2.073,2.0
-0.042,1.419,4.0
2.148,-0.2052,1.0
0.04232,1.98,9.0
-0.01863,0.1384,5.0
0.6895,2.407,7.0
0.6492,1.631,7.0
-0.4437,-0.09308,2.0
-0.08877,0.2226,8.0
-0.7811,-0.3676,2.0
-1.727,-0.02984,6.0
0.4346,0.1279,8.0
0.4761,-0.3163,5.0
0.3722,3.507,7.0
2.886,1.262,7.0
-0.1286,0.9796,9.0
2.389,-0.6857,1.0
-0.1401,0.1223,8.0
2.316,-0.6373,1.0
-0.4862,0.3424,8.0
-2.347,-0.5054,0.0
-0.5609,0.6076,3.0
-2.17,-0.6337,0.0
3.502,-0.9678,1.0
0.3916,1.137,9.0
-0.5601,1.847,9.0
-0.1997,1.669,4.0
2.399,-1.149,1.0
0.07278,0.4101,8.0
-0.756,-0.2192,2.0
4.655,-1.492,1.0
-0.532,-0.1159,2.0
0.6019,1.019,9.0
0.9189,0.5068,7.0
0.6658,0.0929,5.0
-0.5659,1.826,9.0
-0.7526,-0.05113,2.0
0.008633,-3.429,6.0
-1.696,1.998,4.0
2.083,-1.344,1.0
-0.4566,0.4126,5.0
-0.3978,0.7528,8.0
-0.4817,-0.2234,2.0
-0.2409,1.651,9.0
-0.772,-0.2119,2.0
-2.203,-0.5592,0.0
-0.3688,1.404,4.0
-3.592,-1.069,0.0
-3.272,0.3144,0.0
-0.6073,-0.3416,2.0
0.01266,0.2164,8.0
0.4021,0.3703,4.0
0.1797,0.9855,7.0
2.783,-0.7137,1.0
-1.207,1.216,2.0
0.3639,1.0,4.0
-3.61,0.7328,0.0
-0.6667,-0.1203,2.0
0.6391,0.8514,7.0
